order_id,customer_id,product_id,order_date,qty,unit_price,discount_pct,status,reject_reason
O0061,C037,P014,2026-08-03,1,586.17,0,cancelled,status_not_paid_or_completed
O0062,C039,P011,2026-08-03,1,1236.35,0,pending,status_not_paid_or_completed
O0063,C031,P003,2026-08-04,4,503.9,0,pending,status_not_paid_or_completed
O0064,C032,P007,2026-08-04,3,344.97,10,cancelled,status_not_paid_or_completed
O0065,C020,P006,2026-08-03,3,1322.8,5,cancelled,status_not_paid_or_completed
O0070,C049,P004,2026-08-04,1,390.89,0,pending,status_not_paid_or_completed
O0073,C023,P009,2026-08-01,2,754.77,5,pending,status_not_paid_or_completed
O0074,C009,P011,2026-08-03,4,1236.35,5,cancelled,status_not_paid_or_completed
O0076,C047,P999,2026-08-03,2,503.9,0,cancelled,status_not_paid_or_completed
O0077,C058,P005,2026-08-02,3,1299.0,5,cancelled,status_not_paid_or_completed
O0084,C052,P002,2026-08-04,4,757.5,0,pending,status_not_paid_or_completed
O0086,C010,P011,2026-08-02,3,1236.35,0,pending,status_not_paid_or_completed
O0088,C035,P002,2026-08-04,4,757.5,10,pending,status_not_paid_or_completed
O0092,C024,P015,2026-08-02,1,750.94,10,cancelled,status_not_paid_or_completed
O0093,C039,P015,2026-08-03,3,750.94,5,pending,status_not_paid_or_completed
O0095,C024,P014,2026-08-01,3,586.17,5,pending,status_not_paid_or_completed
O0096,C038,P007,2026-08-04,2,344.97,5,pending,status_not_paid_or_completed
O0097,C035,P003,2026-08-01,2,503.9,0,pending,status_not_paid_or_completed
O0098,C057,P014,2026-08-01,3,586.17,0,cancelled,status_not_paid_or_completed
O0100,C042,P014,2026-08-01,4,586.17,5,cancelled,status_not_paid_or_completed
O0103,C046,P004,2026-08-04,4,390.89,5,pending,status_not_paid_or_completed
O0104,C026,P006,2026-08-02,3,1322.8,0,pending,status_not_paid_or_completed
O0105,C032,P009,2026-08-04,1,754.77,0,pending,status_not_paid_or_completed
O0110,C025,P007,2026-08-02,3,344.97,0,pending,status_not_paid_or_completed
O0114,C038,P004,2026-08-04,4,390.89,0,pending,status_not_paid_or_completed
O0116,C041,P009,2026-08-02,4,754.77,10,pending,status_not_paid_or_completed
O0117,C059,P006,2026-08-03,1,1322.8,0,pending,status_not_paid_or_completed
O0120,C029,P013,2026-08-03,2,1390.08,0,pending,status_not_paid_or_completed
O0121,C011,P013,2026-08-01,3,1390.08,5,cancelled,status_not_paid_or_completed
O0124,C053,P003,2026-08-02,1,503.9,5,cancelled,status_not_paid_or_completed
O0126,C048,P010,2026-08-01,3,1072.6,0,pending,status_not_paid_or_completed
O0129,C020,P007,2026-08-04,1,344.97,5,pending,status_not_paid_or_completed
O0131,C007,P011,2026-08-03,4,1236.35,0,pending,status_not_paid_or_completed
O0133,C037,P002,2026-08-01,4,757.5,0,cancelled,status_not_paid_or_completed
O0140,C015,P001,2026-08-01,2,996.79,10,pending,status_not_paid_or_completed
O0142,C050,P003,2026-08-03,4,503.9,5,pending,status_not_paid_or_completed
O0148,C040,P009,2026-08-04,2,754.77,0,cancelled,status_not_paid_or_completed
O0150,C050,P002,2026-08-01,2,757.5,10,cancelled,status_not_paid_or_completed
O0156,C049,P010,2026-08-01,3,1072.6,0,cancelled,status_not_paid_or_completed
O0157,C036,P013,2026-08-03,1,1390.08,0,pending,status_not_paid_or_completed
O0158,C012,P013,2026-08-02,2,1390.08,10,cancelled,status_not_paid_or_completed
O0159,C038,P011,2026-08-01,1,1236.35,0,pending,status_not_paid_or_completed
O0163,C026,P008,2026-08-03,1,330.64,5,pending,status_not_paid_or_completed
O0164,C058,P010,2026-08-02,4,1072.6,10,pending,status_not_paid_or_completed
O0165,C054,P015,2026-08-03,4,750.94,0,cancelled,status_not_paid_or_completed
O0166,C008,P015,2026-08-04,3,750.94,10,pending,status_not_paid_or_completed
O0167,C058,P001,2026-08-01,3,996.79,5,cancelled,status_not_paid_or_completed
O0169,C057,P010,2026-08-01,1,1072.6,0,pending,status_not_paid_or_completed
O0171,C034,P015,2026-08-04,2,750.94,5,pending,status_not_paid_or_completed
O0172,C016,P015,2026-08-02,1,750.94,10,cancelled,status_not_paid_or_completed
O0178,C030,P015,2026-08-02,3,750.94,5,pending,status_not_paid_or_completed
